"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ebi",0,NA,NA,NA,NA
"asc_anago",0.0128225442382405,0.0127032637181611,1.00938975390308,0.0126494390479858,1.01368481160296
"asc_maguro",-0.0914384024379384,0.148650633575027,-0.615122857123833,0.151694244035126,-0.602780962583955
"asc_ika",-0.186563365834959,0.0536230160360092,-3.47916584381745,0.0543208984138355,-3.43446760422949
"asc_uni",0.084511006016153,0.0253270857458187,3.33678366568901,0.02466324058521,3.42659780348704
"asc_ikura",0.0552310458418863,0.0193402147920083,2.85576176044894,0.0193417554255917,2.85553428975782
"asc_tamago",-1.93946625673978,0.147687452045717,-13.1322345255127,0.152422925498008,-12.7242424353358
"asc_toro",0.27618186563485,0.142786860051995,1.93422465858749,0.144228391472217,1.91489250358901
"asc_tekka_maki",-0.454770053068569,0.159805403978969,-2.84577393345484,0.163976994158241,-2.77337717649409
"asc_kappa_maki",-3.04533534202207,0.157326981932577,-19.356726383572,0.161768256786974,-18.8252961520896
"lambda_akami",0.322537627998592,0.0260013214748783,12.4046629056996,0.0266309961531198,12.11136174344
"lambda_seafood_other",0.34219473700428,0.0950910212463317,3.59860197649818,0.0969017195764443,3.53135876741927
"lambda_non_seafood",1,NA,NA,NA,NA
