"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ebi",0,NA,NA,NA,NA
"asc_anago",-0.0841088879039538,0.0935526869148126,-0.899053684909572,0.0945103290886898,-0.889943868728092
"asc_maguro",-0.264773990648216,0.0773362620704677,-3.42367194327233,0.0784489807731181,-3.3751106520296
"asc_ika",-0.710740215689389,0.0812675047582603,-8.74568768665371,0.0814070049724933,-8.73070095048383
"asc_uni",0.230509949671972,0.0896963168597086,2.56989314324361,0.0905531743900868,2.54557558279488
"asc_ikura",-0.025190557880733,0.0817136509379489,-0.308278452762587,0.0828642635614364,-0.303997848988985
"asc_tamago",-0.86925674665015,0.0869510048569365,-9.99708684310627,0.0866448615872302,-10.0324096631515
"asc_toro",1.04101809374237,0.0919869072804031,11.3170246127424,0.0938520809676861,11.092115198818
"asc_tekka_maki",-1.47464940142981,0.107024408112798,-13.7786270200683,0.107718962812994,-13.6897846295631
"asc_kappa_maki",-2.42595853530033,0.176105124171467,-13.7756271812867,0.175817718153367,-13.7981459478626
"b_price_x_west",-0.0661935367706465,0.0452093796627072,-1.46415494449372,0.0458707135950633,-1.44304571659793
"b_oil_x_age",0.0890134553753845,0.0171267840909324,5.19732454749119,0.017591276420132,5.06009076598413
"b_oil_x_west",-0.0576005491231645,0.0669188387068979,-0.86075237162218,0.0682833805731756,-0.843551514873186
