model,parameter,coef,se,z,p_value,ci_low,ci_high
M1_attributes,b_price_norm,0.58133,0.0241,24.12149,0.0,0.5341,0.62857
M1_attributes,b_oiliness,0.08531,0.03583,2.38089,0.01727,0.01508,0.15554
M1_attributes,b_freq_sold,2.17344,0.17189,12.64452,0.0,1.83654,2.51035
M6_setB,b_price_norm,0.25052,0.02285,10.96562,0.0,0.20575,0.2953
M6_setB,b_oiliness,0.41561,0.02414,17.21801,0.0,0.3683,0.46292
M6_setB,b_freq_sold,4.30261,0.07029,61.21592,0.0,4.16485,4.44037
M6_setB,b_maki,0.58577,0.08148,7.189,0.0,0.42607,0.74548
M6_setB,b_nonseafood,-0.3753,0.07523,-4.98884,0.0,-0.52274,-0.22785
