"asc_anago","asc_maguro","asc_ika","asc_uni","asc_ikura","asc_tamago","asc_toro","asc_tekka_maki","asc_kappa_maki","lambda_akami","lambda_seafood_other","logLike"
0,0,0,0,0,0,0,0,0,0.5,0.5,-34795.2493415523
0.031938780600913,0.0365337797697029,-0.0597709905272765,0.0497822769942927,0.0431550855953543,-0.616488784538154,0.127812223382052,-0.202517690485698,-1.69449582460428,0.633189861895355,0.64579796231326,-30820.7541408608
0.0140744792238867,0.104080644556635,-0.325380767781771,0.0873446717469936,0.0603300641072905,-1.74810698066256,0.500948421680542,-0.497716979612729,-2.87152544536521,0.227844385849137,0.554116800003718,-29909.2877565032
0.0170584067474588,-0.0953257692215501,-0.170085178038167,0.103571210964772,0.0663352448223564,-1.94644718384834,0.220150294443445,-0.573127544772385,-3.0532804377243,0.231452781009191,0.331083325440178,-29427.3141050497
0.0171777289176457,0.137787208128267,-0.234998342827521,0.114030704452364,0.0756886345979332,-1.77814813550504,0.397763114521164,-0.129779406733693,-2.81125430822221,0.233047455423425,0.436898725381629,-29168.3822232251
0.0137941949429359,0.0249893599093824,-0.206118106098539,0.0896389226992172,0.0589402691680236,-1.89035621192236,0.325481298670832,-0.269896010402526,-2.98549640500885,0.261800154045965,0.375331009949656,-29162.5638786225
0.0127302816981487,-0.0884980480757046,-0.188011204882977,0.0844263267026633,0.0548990302462261,-1.93185936718921,0.279828382877702,-0.455281187790992,-3.03629790841593,0.323715097991623,0.344884625272718,-29159.7317738471
0.0128645318062834,-0.0893184758070402,-0.187168511221064,0.0847202584333338,0.0553858971075874,-1.93785595046029,0.277852124019656,-0.451885470267956,-3.04374436565701,0.321979179492356,0.343313161333071,-29159.7077555778
0.0128283090305426,-0.0913093694862893,-0.186607810869641,0.0845223431780814,0.0552420637657845,-1.93935978412881,0.276292944691716,-0.454622522391143,-3.04523224147696,0.322520097622573,0.342273040163711,-29159.7073514326
0.0128225442382405,-0.0914384024379384,-0.186563365834959,0.084511006016153,0.0552310458418863,-1.93946625673978,0.27618186563485,-0.454770053068569,-3.04533534202207,0.322537627998592,0.34219473700428,-29159.7073504568
