"b_price","b_oil","b_freq","logLike"
0,0,0,-11512.9254649699
0.0221492888927777,0.0343360247313586,0.340355576784404,-11222.4347494044
0.115546741524341,0.17528543310667,1.81971065563419,-10432.7140905375
0.436417677019189,0.1743572782176,2.9856654155681,-9906.12145378286
0.561066620534023,0.108174292896208,2.90587525883987,-9862.64618240705
0.576063550609707,0.0888565449171968,2.08922155553983,-9850.88521436172
0.58141094982833,0.0860054406613871,2.19627593722562,-9850.74323189667
0.581234626106727,0.085470664640856,2.17325402319922,-9850.73093401153
0.581321988328904,0.0853272600082075,2.17340429857897,-9850.73092371216
0.581332502575369,0.0853098111975305,2.17344431698886,-9850.73092359222
