"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_anago_a",0.348280355862912,0.0591550806851412,5.88758145249889,0.0648407890345762,5.37131581907791
"asc_maguro_a",0.746354337531835,0.0643384075074949,11.6004477954306,0.091293722640196,8.17530839960754
"asc_ika_a",-0.613355910562886,0.0717808929550539,-8.54483533587335,0.0733405566949287,-8.36312046435964
"asc_uni_a",0.852271795674734,0.0620004133428035,13.7462276414591,0.0660540712717613,12.9026383880003
"asc_ikura_a",0.633407216211403,0.0584110113779287,10.8439693350481,0.0600844906546262,10.5419420104984
"asc_tamago_a",-1.43144416355347,0.115102263059761,-12.4362816638129,0.134406059831293,-10.6501460228075
"asc_toro_a",1.99810548390484,0.0830978887665278,24.045201551615,0.131332858483283,15.2140561545699
"asc_tekka_maki_a",-0.422564896918695,0.0731858338881816,-5.77386188650004,0.0983082647948462,-4.29836593902375
"asc_kappa_maki_a",-3.09080461153963,0.243646457924385,-12.6856127434402,0.248956490374425,-12.4150392981968
"asc_anago_b",-0.488488191816373,0.0790032163560459,-6.1831430965404,0.0898178330895992,-5.43865483070688
"asc_maguro_b",-0.880512545275446,0.10110953695897,-8.70850141102668,0.131682872240582,-6.68661406220518
"asc_ika_b",-0.545567590859412,0.0726107763174166,-7.51358983512963,0.0716164565769254,-7.61790818669451
"asc_uni_b",-1.39515004736865,0.179425304793264,-7.77565934178661,0.332286455010038,-4.19863652680789
"asc_ikura_b",-0.824712224601026,0.104095161455467,-7.92267587724379,0.160040418328993,-5.15314964314624
"asc_tamago_b",-0.724355039653809,0.0821550021151497,-8.81693166581071,0.108148807349774,-6.69776262359609
"asc_toro_b",-0.987267449729276,0.159011935796031,-6.20876316477069,0.184041490985909,-5.3643743290738
"asc_tekka_maki_b",-1.37880420795577,0.103721164141798,-13.2933738197422,0.133449187571363,-10.3320539678703
"asc_kappa_maki_b",-1.71324414242113,0.0993427092920554,-17.2457964417339,0.11472887129827,-14.9329817598142
"delta_a",1.07694049019244,0.166175620689024,6.48073698011211,0.187238302266343,5.75171039876507
"gamma_age_a",0.165825175940334,0.0475928099384149,3.48424848532607,0.0565570902913269,2.93199623753917
"gamma_west_a",-0.3314001204493,0.0964392000980098,-3.4363632227611,0.100913026500261,-3.28401725666648
"gamma_female_a",-0.749482094467574,0.0970310360643853,-7.72414811659078,0.104906055455962,-7.14431680049388
"gamma_moved_a",0.270544297156139,0.0979665679576286,2.76159819412222,0.100045839879017,2.70420336800912
