"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_anago_a",0.34553409550564,0.0805549179346516,4.28942272383601,0.0834234011104927,4.1419324902372
"asc_maguro_a",-0.554403820753038,0.133713186453601,-4.14621650606927,0.153901936072513,-3.60231869007693
"asc_ika_a",-0.847071186574096,0.113371334901628,-7.47165222416315,0.111175159135694,-7.61924869871524
"asc_uni_a",1.85034192771064,0.10059087025949,18.3947302865299,0.102776975097345,18.0034674688382
"asc_ikura_a",0.916791964873149,0.0780445671659334,11.7470311921126,0.0779454841931361,11.761963818218
"asc_tamago_a",-2.17586404076425,0.23635580371242,-9.20588369986325,0.241440814503406,-9.01199759965835
"asc_toro_a",1.40750518263001,0.0903712241855775,15.5747052816248,0.114990633410083,12.2401724461376
"asc_tekka_maki_a",-2.08301923653141,0.232424031262773,-8.96215088093192,0.235404385649018,-8.84868491633431
"asc_kappa_maki_a",-3.365909361606,0.36784064597122,-9.15045522693364,0.376577800242338,-8.93815131810728
"asc_anago_b",-0.380246413355286,0.0689296334576911,-5.51644328108434,0.0768748334596159,-4.94630552344596
"asc_maguro_b",-0.575983490958707,0.0840325518324709,-6.85429013398284,0.107296206533211,-5.36816267386329
"asc_ika_b",-0.492538069830173,0.0652017162344843,-7.55406603192564,0.0602348460789137,-8.17696237133068
"asc_uni_b",-2.18675577924116,0.251646462990469,-8.6897934238956,0.279137778991033,-7.8339656751063
"asc_ikura_b",-0.736957299006249,0.0791141854119737,-9.31510948597484,0.0892876042664469,-8.25374703533386
"asc_tamago_b",-0.659527657641539,0.0699483147809759,-9.42878552123335,0.0732199948568701,-9.00748025086287
"asc_toro_b",-0.599823142181086,0.120753231295675,-4.96734651110385,0.150847361422539,-3.97635819761486
"asc_tekka_maki_b",-1.13172082709938,0.0860536581373991,-13.1513389621671,0.102569195540482,-11.0337301675795
"asc_kappa_maki_b",-1.72960640239291,0.0914091447284884,-18.9215904768647,0.0922346631270151,-18.7522385159156
"asc_anago_c",0.301568104749086,0.0966440620539091,3.12039972596421,0.101490494135607,2.97139261482109
"asc_maguro_c",1.46397829218427,0.102064324095931,14.3436828211224,0.108283456636888,13.5198703260231
"asc_ika_c",-0.494421249587663,0.114572857421142,-4.31534362253262,0.114810698426717,-4.3064039881549
"asc_uni_c",-0.0806890337812677,0.153790793768894,-0.524667516200753,0.1975650088867,-0.40841763547077
"asc_ikura_c",0.293926370327246,0.0994340369167727,2.95599353542555,0.104233241671219,2.81989090634225
"asc_tamago_c",-1.2192391991253,0.162985352020936,-7.48066733609708,0.17646301500363,-6.90931864164407
"asc_toro_c",2.83792518538388,0.133668683086113,21.2310402097371,0.165825767684654,17.1138974660481
"asc_tekka_maki_c",0.150057961747019,0.102455404803664,1.46461733311753,0.111479674625523,1.34605668926723
"asc_kappa_maki_c",-2.8415771840489,0.319549839575285,-8.89243814932174,0.324737146791391,-8.75039154628748
"delta_a",-0.629971653964453,0.162505494843149,-3.87661755420949,0.180581002612172,-3.48858210360823
"gamma_age_a",0.176263314214469,0.0469866266454257,3.75135068845443,0.0534626837136941,3.29694100577522
"gamma_west_a",0.128265730342113,0.104293141410326,1.22985777020054,0.10682115790407,1.20075210621946
"gamma_female_a",0.383615697586564,0.0995634380956646,3.85297760828599,0.107722982575121,3.56113141704972
"gamma_moved_a",0.0371958498570731,0.097024097666557,0.383367129936155,0.0989294331387603,0.375983654984675
"delta_b",-0.348229633509989,0.170682167126008,-2.04022270969237,0.212774735688669,-1.63661175460002
"gamma_age_b",-0.117439080194907,0.0516386074385068,-2.27424955900986,0.0611447543211643,-1.92067302418218
"gamma_west_b",0.355958402077691,0.106432071255497,3.34446560964872,0.108313095256172,3.28638380461579
"gamma_female_b",0.810585757362958,0.102587633970501,7.90139830689572,0.107579659449274,7.53474924081873
"gamma_moved_b",-0.273072365194406,0.104988137313894,-2.6009830460938,0.106919915430634,-2.55398972300503
