"asc_anago_a","asc_maguro_a","asc_ika_a","asc_uni_a","asc_ikura_a","asc_tamago_a","asc_toro_a","asc_tekka_maki_a","asc_kappa_maki_a","asc_anago_b","asc_maguro_b","asc_ika_b","asc_uni_b","asc_ikura_b","asc_tamago_b","asc_toro_b","asc_tekka_maki_b","asc_kappa_maki_b","delta_a","gamma_age_a","gamma_west_a","gamma_female_a","gamma_moved_a","logLike"
0.04,0.23,-0.54,0.22,0.16,-0.96,1.11,-0.77,-2.07,0.04,0.23,-0.24,-0.8,0.16,0.04,0.11,-0.47,-1,0,0,0,0,0,-29833.5676272218
0.00249248280261453,0.260525885000922,-0.712018019506554,0.281349983735161,0.22554095823286,-1.63397880384929,1.23150269403965,-0.836390895316302,-3.47147441885697,0.0892926919902741,0.0635813276035822,-0.140852407100949,-0.871809164199146,-0.118685989634777,-0.109856088858919,0.189226589672765,-0.515544819621157,-1.07761824435675,0.28938734177658,0.140899935481747,0.100519056262962,-0.0186968497344275,0.331456119765527,-29224.8709574587
-0.0176289514303063,0.287107468503981,-0.840714146658216,0.469688870346993,0.272168691283065,-2.09263543112326,1.41240425123051,-0.874354439244805,-3.84270435497621,0.0253358213419043,-0.0985049489751978,-0.154606894063955,-1.36757642213036,-0.445529018005755,-0.107069712678396,0.0036595262827514,-0.644980740842309,-1.15854626326187,0.52314682759343,0.243005014131582,-0.102488207435149,-0.281622365605244,0.421089019710144,-29040.1447233547
0.242822716829297,0.591362190581323,-0.644161321012777,0.888767161265075,0.585127218532209,-2.0087631933601,1.78721609984415,-0.656982904257703,-3.71399296451192,-0.392689699594139,-0.549613865368573,-0.608912458790198,-2.10908096590238,-0.928531284965331,-0.546511056442818,-0.409716393756767,-1.04493118816281,-1.63803413663509,0.724941859430881,0.238529005311454,-0.312845982087643,-0.512572845903862,0.335714472030591,-28966.0453153232
0.29231900811195,0.580222108973427,-0.665859972572827,0.870346075272017,0.626221447544261,-1.72270062260649,1.82734844336478,-0.558688029288328,-3.2655015600209,-0.388957802524114,-0.472389488034659,-0.425535729890254,-1.91402530961362,-0.897615478209333,-0.483564222550782,-0.506994454395756,-1.12406517267369,-1.57106118666597,0.80775621891334,0.25883429477874,-0.322775935879313,-0.64234341591458,0.325553974868219,-28955.9816476898
0.33170210568361,0.672742662353097,-0.627787605361724,0.917165396989909,0.647211913577507,-1.61213398133475,1.8719954751466,-0.548767929626249,-3.22817165354763,-0.479554167931397,-0.676200018646751,-0.538302401426705,-1.95702924421384,-0.937647241086124,-0.61608462837438,-0.625697958861092,-1.13750672128418,-1.6517622497113,0.87746635346282,0.217159342004225,-0.33164929361123,-0.611961434718799,0.320043574976515,-28952.2229802507
0.311207744054235,0.617469814377415,-0.655337280640454,0.853347693328156,0.624966217527332,-1.58598901176985,1.8680189348475,-0.517826801684717,-3.19582490946,-0.456346003397848,-0.617889066267217,-0.467561033510185,-1.78462200668719,-0.926902728295214,-0.576766402716421,-0.732223130929901,-1.23004748835799,-1.61052823672814,0.971139747445615,0.224219054680831,-0.343373126662241,-0.701091109269038,0.317699974963366,-28949.5875726813
0.336865055514134,0.697558903963707,-0.628137987524385,0.891409338744236,0.640326445580403,-1.53293368469661,1.90116946126619,-0.513680206913443,-3.17680850778541,-0.500910840499889,-0.777438843182695,-0.533691949342515,-1.79590232880505,-0.928681633861164,-0.656113348033426,-0.778217722339465,-1.21663755332677,-1.66743676097086,0.985882802833636,0.196803692699539,-0.338076863513407,-0.661305073641114,0.304078338157096,-28947.6282627479
0.319894644645524,0.65057188964053,-0.642409215176345,0.843371766122709,0.623622834722516,-1.52191387666015,1.90102505328972,-0.486885838866116,-3.15220417893268,-0.476411862534014,-0.714138168919771,-0.491812724853219,-1.66139318460193,-0.914627225882381,-0.624697996283892,-0.860468445979478,-1.29842085241976,-1.63680185563353,1.04535214768739,0.204216507779525,-0.348675234365905,-0.728251613993736,0.302757424551028,-28946.259321337
0.340579510633746,0.716043207517223,-0.623422260354929,0.876874039095408,0.636961498872836,-1.49042370237364,1.92844770190395,-0.485435319317749,-3.1425255481281,-0.50546763559892,-0.836244766491664,-0.539266482075229,-1.67122144336907,-0.906636369250932,-0.683115455195828,-0.869244980956524,-1.27352946375272,-1.68339807319354,1.03711281709756,0.184083612068357,-0.338144620752818,-0.690677126572627,0.291317838188604,-28945.275795638
0.327114955843958,0.677347225490222,-0.633706813228303,0.840617171211127,0.624678524073444,-1.48698843828234,1.92877437933597,-0.464911964512621,-3.12698572471942,-0.483164193117176,-0.773387313664449,-0.50787478471241,-1.56793520390697,-0.89287444160577,-0.656275480416064,-0.926083999544166,-1.33752947638961,-1.65826802791107,1.07394643875923,0.191644372877237,-0.346940061376233,-0.742238200580952,0.291571507665588,-28944.6047720329
0.343911306075736,0.729168220577344,-0.61921265251974,0.869331017432691,0.635818891853033,-1.46631653747317,1.95081306085392,-0.464725312099058,-3.12257151873693,-0.504213415512736,-0.865259905432484,-0.544057741916879,-1.58196595103066,-0.88352060125372,-0.700823741355534,-0.918421054833614,-1.31040881890551,-1.69544798721447,1.05911890647978,0.176172305034245,-0.336773515485638,-0.709211429328544,0.282839625777083,-28944.1278634058
0.332925418318874,0.697360364106241,-0.627718893791616,0.841066891072748,0.626511967350736,-1.46656128388885,1.95011906518816,-0.450023825987933,-3.11245070801134,-0.485427747342049,-0.80950410327208,-0.518841798487444,-1.50405406062037,-0.873008396604132,-0.677716150021073,-0.957974418482978,-1.35815437352487,-1.67460916526958,1.08269632112389,0.183524003665187,-0.34336277690147,-0.749138372534711,0.284247709033378,-28943.8030179981
0.33964901617091,0.717645374054003,-0.622103976500756,0.852150335984817,0.630887181859865,-1.45833884651144,1.96018584210586,-0.448764645177879,-3.11081787812232,-0.492863938144721,-0.843793157492151,-0.532402440631583,-1.50590879950561,-0.867537302490377,-0.69501278604118,-0.955620936551277,-1.34903190549766,-1.68900131509158,1.07636032152781,0.177273948749497,-0.33944595781647,-0.73732634478331,0.280557175742711,-28943.3452731853
0.34325195945096,0.729094413931941,-0.618747354874989,0.854954316813246,0.632573223729854,-1.44998355095615,1.97061477506426,-0.442875233820628,-3.1058114675408,-0.49426767898176,-0.86166849606867,-0.538890770908033,-1.4822101162046,-0.857644621106132,-0.70601639020175,-0.963117100064221,-1.35364677600033,-1.69801603354646,1.07589941684655,0.173092423706367,-0.336838611992112,-0.736994159062231,0.277392590787594,-28943.1961518576
